t,qkd,mfg,bankQ,bankP,xq,xp,y,servedQ,servedP,ageQ
20429.5,316.26184512368724,0.0,82073.97091454914,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
20489.5,296.13849448120084,0.0,66122.19476277192,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
20549.5,306.07534528323623,0.0,54029.54079150671,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
20609.5,330.09886400531394,0.0,48409.62080030046,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
20669.5,271.0391230661701,0.0,45487.756895745246,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
20729.5,381.71448225711634,0.0,46180.514514454575,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
20789.5,483.10126676354827,0.0,54615.23587031155,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
20849.5,449.8940433353188,0.0,64647.59951395856,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
20909.5,430.97064050250714,0.0,70938.85864394062,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
20969.5,377.72057820682386,0.0,78324.22471175474,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
21029.5,280.2186332968468,0.0,78722.01071088799,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
21089.5,280.4994173340965,0.0,68278.04220626735,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
21149.5,368.69599080471033,0.0,58901.956132991894,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
21209.5,385.3466194558431,0.0,56814.1737586451,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
21269.5,447.23159743340324,0.0,56214.88193087747,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
21329.5,500.2965427920079,0.0,65287.15755357736,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
21389.5,438.83873286865696,0.0,78132.4354388762,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
21449.5,407.50863171233607,0.0,83974.43314506538,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
21509.5,447.70356402970214,0.0,85818.5814745727,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
21569.5,471.40132168075996,0.0,88433.76179801552,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
21629.5,561.1930805237258,0.0,90437.1027134965,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
21689.5,602.775903582813,0.0,98205.30117462201,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
21749.5,521.8423777150304,0.0,106654.6329523549,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
21809.5,416.4513898619091,0.0,109442.60423388277,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
21869.5,395.48277337433115,0.0,106834.27719410222,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
21929.5,361.06690514246765,0.0,98593.85124741159,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
21989.5,444.0123144272828,0.0,86603.25758752214,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
