t,qkd,mfg,bankQ,bankP,xq,xp,y,servedQ,servedP,ageQ,ageMean,ageOldest
26280,0.0,0.0,0,19680.754992426657,0.0,-1.7763568394002505e-14,-1.7763568394002505e-14,0.0,0.0,0.0,0.0,0.0
26400,0.0,0.0,0,6482.400699537628,0.0,-1.7763568394002505e-14,-1.7763568394002505e-14,0.0,0.0,0.0,0.0,0.0
26520,0.0,0.0,0,3789.473553093112,0.0,23.355289381377535,-1.7763568394002505e-14,0.0,0.0,0.0,0.0,0.0
26640,0.0,781.25,0,39410.524952168365,0.0,-1.7763568394002505e-14,-1.7763568394002505e-14,0.0,23.355289381377553,0.0,0.0,0.0
26760,0.0,0.0,0,58357.89271763393,0.0,-1.7763568394002505e-14,-1.7763568394002505e-14,0.0,0.0,0.0,0.0,0.0
26880,0.0,781.25,0,51535.68812779018,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
27000,0.0,0.0,0,53469.56836933992,0.0,-7.105427357601002e-15,-7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
27120,0.0,0.0,0,55940.62026666135,0.0,-7.105427357601002e-15,-7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
27240,0.0,781.25,0,52057.72555604273,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
27360,0.0,0.0,0,58959.369270169,0.0,23.35528938137754,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
27480,0.0,-0.0,0,58854.2704679528,0.0,58.388223453443864,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
27600,0.0,781.25,0,50134.37076490753,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,81.74351283482143,0.0,0.0,0.0
27720,0.0,0.0,0,31969.405193718114,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
27840,0.0,0.0,0,23201.642717633928,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
27960,0.0,781.25,0,21114.800900829083,0.0,8.947452684597266,-2.1316282072803006e-14,0.0,0.0,0.0,0.0,0.0
28080,0.0,0.0,0,43978.94411670918,0.0,58.38822345344387,-7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
28200,0.0,0.0,0,70859.28221851014,0.0,29.353567362187242,-7.105427357601002e-15,0.0,29.03465609125663,0.0,0.0,0.0
28320,0.0,781.25,0,64953.61328125,0.0,-7.105427357601002e-15,-7.105427357601002e-15,0.0,23.355289381377553,0.0,0.0,0.0
28440,0.0,781.25,0,56433.56178075226,0.0,-3.552713678800501e-15,-3.552713678800501e-15,0.0,23.355289381377553,0.0,0.0,0.0
28560,0.0,0.0,0,53547.133627113486,0.0,23.35528938137755,-3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0
28680,0.0,0.0,0,49775.820362324615,0.0,23.35528938137755,-3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0
28800,0.0,0.0,0,43104.27295918367,0.0,-2.1316282072803006e-14,-2.1316282072803006e-14,0.0,0.0,0.0,0.0,0.0
28920,0.0,0.0,0,38300.04814094466,0.0,-2.1316282072803006e-14,-2.1316282072803006e-14,0.0,0.0,0.0,0.0,0.0
