t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey,q_sumsq,z_l1,z_sumsq,z_max,lyapunov,key_inflow,key_overflow
500,348013007.4706135,2,0.0,6508386.923625004,6986914801,15.273239630704674,120.0,2,4.4316720703650054e+19,10792635.067321882,34084190286931.164,4815236.26264227,2.216176877085372e+19,8641754.181500655,4.805770004168153e-09
501,167830781.02999815,1,0.0,6573818.118239539,7064084020,15.269526390477017,120.0,1,4.45079826529952e+19,9582858.283257712,30710538959735.133,4591089.753125279,2.2257062380393574e+19,8678791.792535927,3.969034878537059e-09
502,353087022.65709245,2,0.0,6525063.047329403,6955996998,15.274086586424342,120.0,2,4.400502765173655e+19,10776276.454288818,34857250946194.742,4895287.937464125,2.2005999550962897e+19,8678791.792535927,3.976310836151242e-09
503,167830781.02999815,1,0.0,6590200.8861040985,7033166217,15.268238652204106,120.0,1,4.419510123653115e+19,9557705.927444017,31413344191723.105,4671141.427947135,2.210069195268475e+19,8678791.792535927,3.969034878537059e-09
504,351965769.68276227,2,0.0,6518464.321310327,6926200447,13.579061882342364,120.0,2,4.3709330212472316e+19,11506093.872298645,31160573537190.137,4446994.918430144,2.1857781163589878e+19,8661272.214812018,4.856701707467437e-09
505,164920226.93375725,1,0.0,6581769.704318139,7006280220,15.270006472850296,120.0,1,4.3936761248302285e+19,9979586.14143676,27891518918677.773,4222848.408913153,2.1971169776043012e+19,8626551.523872133,4.209141479805112e-09
506,349310822.3643677,2,0.0,6545190.941904078,6901969398,15.270614182166474,120.0,2,4.345151611073445e+19,11029932.260801816,31587933245061.297,4523665.162796985,2.1728916848691732e+19,8644957.304653384,7.123162504285574e-09
507,164920226.93375725,1,0.0,6605506.391494578,6982049171,15.269226377792762,120.0,1,4.367797112277176e+19,9797140.313414123,28353600234318.137,4299518.653279995,2.1841820921409315e+19,8644957.304653384,7.352355169132352e-09
508,349310822.3643677,2,0.0,6565632.9532106025,6877738348,15.270885049712938,120.0,2,4.319449624198352e+19,10887558.801608821,32160506943801.15,4600335.407163827,2.160046417168614e+19,8644957.304653384,7.818016456440091e-09
509,164920226.93375725,1,0.0,6625948.406400982,6957818121,15.268462082447936,120.0,1,4.341997523022816e+19,9654766.854221128,28877223037860.03,4376188.897646836,2.1712875337417867e+19,8644957.304653384,7.352355169132352e-09
510,349310822.3643677,2,0.0,6586915.435585653,6853507299,15.271138675763309,120.0,2,4.293827060621951e+19,10745185.342415826,32793016335698.91,4677005.651530668,2.1472414604743324e+19,8644957.304653384,7.352355169132352e-09
511,168349767.4773565,1,0.0,6646858.7631746875,6930157531,15.26773173794586,120.0,1,4.3117785876225475e+19,9539186.680525003,29467803153670.53,4452859.142013677,2.1561839718428103e+19,8698543.875647122,7.847120286896825e-09
512,352740362.907967,2,0.0,6606467.720609936,6822417169,15.271464332298502,120.0,2,4.263602016737502e+19,10691776.062624779,33494219007868.266,4753675.8958975095,2.1321359505588298e+19,8698543.875647122,7.847120286896825e-09
513,168349767.4773565,1,0.0,6666536.928687118,6899067401,15.266956614501728,120.0,1,4.281433759495173e+19,9429925.037534138,30104947128878.63,4528396.490277479,2.1410179292188754e+19,8703075.460059281,6.6211214289069176e-09
514,352740362.907967,2,0.0,6630412.235590364,6791327038,15.271573498996487,120.0,2,4.233494341397475e+19,10694129.269406356,34201952949977.06,4828080.348058271,2.1170891902282375e+19,8703075.460059281,6.6211214289069176e-09
515,168349767.4773565,1,0.0,6690481.446604847,6867977271,15.266193046963345,120.0,1,4.251206299912222e+19,9483513.404808637,30783915562041.6,4602800.942438241,2.1259109891117314e+19,8703075.460059281,6.6211214289069176e-09
516,352740362.907967,2,0.0,6624792.436228652,6760236908,13.57679060983304,120.0,2,4.20350403460187e+19,11415234.89535128,30532219115453.68,4377521.536818211,2.1020573394920894e+19,8703075.460059281,6.6211214289069176e-09
517,168349767.4773565,1,0.0,6685339.46405107,6836887141,15.26821024261036,120.0,1,4.221096208873693e+19,9901102.441009432,27294507698939.42,4152242.1311981804,2.110821049513836e+19,8726010.535092417,7.0285750553011894e-09
518,264360321.80221772,1,0.0,6706601.340069614,6817526819,12.260298189119874,120.0,1,4.179303297760497e+19,9907470.691222295,29313151241010.508,4451807.732618063,2.0899447803926585e+19,8725537.50964878,7.60337570682168e-09
519,323864559.04162544,2,0.0,6691838.310762599,6738662260,24.232235069346494,120.0,2,4.079043569067017e+19,10727004.308525363,29462007883596.6,4226528.326998033,2.0398164046123446e+19,8725537.50964878,7.2177499532699585e-09
520,218349767.4773565,1,0.0,6721624.556064769,6765312492,12.284381318558985,120.0,1,4.0967017940986814e+19,10335879.674539648,26700222809135.113,4001248.921378002,2.048617899277432e+19,8725537.50964878,7.377821020781994e-09
